iter	Passed	Remaining
0	4	464
1	8	428
2	12	396
3	14	359
4	18	347
5	21	340
6	25	334
7	28	327
8	31	318
9	34	311
10	37	305
11	40	299
12	43	292
13	47	291
14	51	292
15	54	288
16	58	286
17	61	280
18	66	285
19	71	284
20	74	278
21	76	272
22	79	267
23	82	262
24	86	258
25	89	253
26	92	249
27	96	246
28	99	243
29	102	238
30	105	234
31	108	230
32	111	227
33	115	223
34	118	220
35	122	217
36	126	215
37	129	211
38	133	208
39	138	208
40	143	205
41	145	200
42	149	197
43	153	195
44	158	193
45	163	191
46	167	189
47	171	186
48	174	181
49	177	177
50	180	172
51	181	167
52	184	163
53	187	159
54	188	154
55	191	150
56	193	145
57	195	141
58	197	137
59	199	133
60	201	129
61	203	124
62	205	120
63	207	116
64	209	112
65	210	108
66	212	104
67	214	100
68	216	97
69	217	93
70	219	89
71	221	86
72	223	82
73	225	79
74	227	75
75	229	72
76	230	68
77	232	65
78	233	62
79	235	58
80	236	55
81	238	52
82	239	49
83	241	45
84	243	42
85	244	39
86	246	36
87	247	33
88	249	30
89	250	27
90	252	24
91	253	22
92	255	19
93	256	16
94	258	13
95	259	10
96	261	8
97	262	5
98	264	2
99	265	0
