iter	Passed	Remaining
0	160	160184
1	165	82394
2	167	55747
3	170	42526
4	177	35328
5	182	30211
6	184	26164
7	186	23131
8	188	20791
9	194	19228
10	197	17739
11	201	16623
12	204	15548
13	220	15528
14	250	16428
15	253	15573
16	255	14777
17	257	14060
18	259	13420
19	262	12840
20	267	12459
21	269	11988
22	272	11560
23	274	11155
24	276	10782
25	281	10561
26	290	10456
27	292	10167
28	300	10076
29	303	9815
30	308	9630
31	313	9473
32	318	9318
33	320	9105
34	323	8910
35	332	8898
36	336	8745
37	377	9557
38	384	9472
39	386	9274
40	388	9082
41	394	8992
42	396	8824
43	398	8659
44	401	8516
45	403	8376
46	414	8406
47	420	8342
48	423	8217
49	425	8083
50	427	7951
51	432	7875
52	434	7756
53	436	7647
54	438	7538
55	440	7429
56	443	7333
57	445	7233
58	447	7139
59	453	7108
60	458	7058
61	462	6994
62	472	7020
63	476	6961
64	481	6930
65	486	6878
66	488	6802
67	492	6749
68	500	6753
69	505	6717
70	507	6637
71	508	6558
72	512	6514
73	515	6444
74	516	6373
75	518	6303
76	519	6232
77	521	6169
78	524	6116
79	530	6106
80	534	6064
81	536	6004
82	537	5934
83	539	5879
84	548	5902
85	561	5969
86	566	5949
87	569	5898
88	571	5849
89	576	5829
90	578	5779
91	580	5732
92	583	5687
93	585	5641
94	591	5633
95	594	5594
96	596	5550
97	598	5508
98	600	5465
99	606	5462
100	609	5424
101	612	5393
102	615	5356
103	617	5320
104	621	5300
105	625	5275
106	627	5237
107	629	5200
108	631	5161
109	633	5122
110	635	5088
111	637	5056
112	640	5027
113	642	4992
114	644	4957
115	646	4923
116	653	4932
117	658	4920
118	660	4887
119	665	4880
120	667	4849
121	669	4815
122	671	4785
123	672	4752
124	674	4719
125	675	4687
126	677	4654
127	682	4647
128	684	4619
129	686	4592
130	688	4565
131	690	4538
132	692	4512
133	696	4499
134	698	4473
135	700	4447
136	701	4420
137	703	4394
138	705	4367
139	711	4369
140	713	4348
141	715	4321
142	718	4307
143	720	4284
144	726	4281
145	728	4260
146	730	4236
147	731	4213
148	733	4190
149	735	4169
150	737	4146
151	746	4166
152	750	4157
153	754	4147
154	757	4130
155	759	4111
156	765	4111
157	768	4095
158	772	4087
159	774	4066
160	775	4042
161	777	4023
162	779	4004
163	782	3989
164	786	3979
165	789	3967
166	793	3960
167	797	3947
168	800	3937
169	804	3928
170	806	3908
171	807	3888
172	809	3870
173	811	3851
174	813	3832
175	816	3821
176	818	3804
177	819	3786
178	821	3767
179	823	3750
180	824	3732
181	826	3715
182	828	3698
183	831	3689
184	833	3671
185	835	3654
186	836	3637
187	838	3620
188	840	3604
189	841	3589
190	843	3573
191	847	3565
192	849	3552
193	853	3547
